acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI239237,VIII,S,P,T,E,Ssp,Br,I,Bl,Bl,44.6,14.5,52.2,7.9,491454.0,823.0,1106.0,165.0,1106.0,5.0,2.5,6.7,0.8,Otootan No. 27
PI240079,0,S,W,G,E,N,Br,S,Y,Bf,40.1,20.9,42.6,8.0,11001.0,704.0,909.0,66.0,909.0,4.0,4.0,19.6,1.77,
PI243547,0,S,P,T,E,Ssp,Br,I,Y,Br,40.4,18.5,41.4,8.3,11001.0,723.0,928.0,66.0,928.0,4.5,3.0,29.4,1.25,Toyo-naga
PI243550,0,S,P,T,E,N,Br,S,Gn,Bl,43.2,18.3,42.8,8.6,11001.0,721.0,920.0,69.0,920.0,3.5,3.0,25.8,1.02,Yoshioka
PI248405,0,S,P,T,E,N,Tn,D,Y,Br,42.3,20.2,47.7,8.1,11001.0,706.0,829.0,69.0,829.0,3.5,2.0,16.4,1.41,Novosadska Rana
PI248406,I,S,P,G,E,N,Br,S,Y,Y,39.6,19.6,46.3,7.4,11002.0,630.0,829.0,76.0,829.0,1.4,2.3,14.4,2.17,Osijecka
PI248409,I,S,P,T,E,N,Br,D,Y,Br,38.2,18.0,46.7,8.2,11002.0,630.0,828.0,69.0,828.0,2.8,2.3,8.3,1.74,Subotica
PI248512,0,S,P,T,E,Ssp,Br,S,Y,Br,40.1,19.1,45.4,8.3,11001.0,721.0,928.0,84.0,928.0,5.0,3.0,28.6,1.31,Hokkaido Akita No. 2
PI253652B,IV,S,W,G,E,N,Br,S,Y,Bf,39.2,20.3,53.4,10.9,11003.0,804.0,1019.0,114.0,1019.0,3.4,2.0,12.8,2.74,
PI253652C,I,S,P,G,E,N,Br,S,Y,Y,37.1,21.5,46.8,6.2,11002.0,701.0,902.0,71.0,902.0,1.3,2.8,14.2,1.71,
PI273483F,III,S,P,G,E,Ssp,Br,D,Y,Bf,46.8,18.5,54.6,8.3,10002.0,720.0,923.0,81.0,923.0,2.1,2.0,16.8,2.62,
PI274455,II,S,W,T,Sa,Ssp,Br,S,Gn,Br,49.2,15.2,52.4,8.9,10002.0,720.0,917.0,69.0,917.0,2.6,2.0,12.6,2.18,Aohigu
PI281885,VII,S,P,T,A,N,Br,I,Y,Br,46.2,13.8,52.2,7.8,491454.0,814.0,1018.0,114.0,1018.0,4.0,2.3,7.6,0.91,
PI283330,IV,S,W,T,E,N,Tn,D,Y,Bl,47.7,15.1,50.5,7.5,10004.0,730.0,928.0,95.0,928.0,2.8,1.8,10.9,1.54,Taichung Green Bean
PI284815,VI,S,P,T,A,N,Br,I,Y,Br,48.3,13.5,54.2,8.8,491453.0,812.0,1012.0,110.0,1012.0,4.0,2.5,5.5,0.25,C.P.I. 20809
PI290129A,0,S,P,T,E,N,Tn,S,Y,Br,42.8,18.4,55.5,9.3,10001.0,705.0,918.0,51.0,918.0,4.0,2.3,11.8,1.82,Keszthelyi Aproszemu Sarga
PI290145,0,S,P,G,E,N,Br,D,Y,Bf,40.6,20.5,53.5,9.2,10001.0,712.0,916.0,86.0,916.0,3.5,2.5,17.0,2.45,Rouest 250
PI290156,0,S,W,T,E,Ssp,Br,S,Br,Br,43.7,17.3,46.9,8.1,10001.0,703.0,829.0,56.0,829.0,3.5,2.5,16.9,1.7,Wielnska Brunatna
PI291311B,I,S,P,G,E,N,Br,S,Y,Y,43.8,19.5,55.3,8.3,10002.0,703.0,910.0,63.0,910.0,1.6,2.3,15.6,3.31,
PI291315,II,S,P,G,E,N,Br,S,Y,Y,43.3,19.2,54.3,7.7,10002.0,703.0,910.0,64.0,910.0,2.7,2.0,15.0,3.16,
PI291329,0,S,P,G,E,N,Tn,D,Y,Y,41.0,18.1,53.4,8.5,10001.0,709.0,917.0,66.0,917.0,3.5,2.3,16.8,2.1,
PI297501,0,S,P,T,E,N,Tn,S,Lgn,Bl,46.4,15.8,53.7,9.6,10001.0,708.0,902.0,43.0,902.0,2.5,2.3,16.9,1.4,Cina 50-6268
PI297520,0,S,P,T,E,N,Tn,S,Y,G,38.4,19.6,55.1,10.0,10001.0,703.0,921.0,102.0,921.0,4.0,2.0,15.3,2.53,Iregi Universal
PI297537,II,S,W,G,E,N,Br,S,Y,Lbf,47.2,18.0,49.9,6.1,10002.0,703.0,913.0,86.0,913.0,2.5,3.5,16.5,2.54,Mandzsu II
PI303651,II,S,W,G,E,Ssp,Tn,I,Y,Bf,47.3,16.4,46.5,6.7,10002.0,716.0,918.0,66.0,918.0,1.9,2.0,12.6,2.96,
PI317336,0,S,P,T,E,Ssp,Br,I,Y,Br,39.6,18.8,52.3,8.4,10001.0,711.0,917.0,76.0,917.0,3.5,2.3,19.5,1.78,Shinsei
PI331794,VII,S,W,T,E,N,Tn,D,Y,Br,45.9,16.4,55.7,7.6,491454.0,728.0,1015.0,96.0,1015.0,3.0,2.5,12.3,0.82,
PI339868C,IV,S,W,G,A,Ssp,Br,D,Y,Bf,46.7,15.9,56.8,11.5,10004.0,722.0,930.0,83.0,930.0,1.5,2.0,12.7,2.65,Yuwoltae
PI339868D,IV,S,W,T,A,Ssp,Tn,D,Y,Br,47.0,15.4,55.7,10.0,10004.0,728.0,1006.0,101.0,1006.0,3.0,1.8,12.9,2.27,Yuwoltae
PI339868F,IV,S,W,G,A,Ssp,Br,D,Y,Bf,42.9,16.6,54.0,10.4,10003.0,808.0,1014.0,89.0,1014.0,2.8,1.8,12.9,1.78,Yuwoltae
PI339977,III,S,W,G,A,Ssp,Tn,I,Y,Bf,47.2,16.9,53.6,7.9,10002.0,718.0,924.0,70.0,924.0,2.0,3.0,24.3,2.39,
PI340017,III,S,P,G,E,Ssp,Br,D,Y,Bf,46.2,17.1,56.0,9.0,10004.0,719.0,926.0,78.0,926.0,1.7,1.8,16.4,2.89,
PI340039,IV,S,P,G,A,Ssp,Br,I,Lgn,Bf,46.0,15.8,51.2,7.1,10003.0,806.0,1013.0,76.0,1013.0,2.3,3.3,15.1,1.51,
PI340041,III,S,W,G,A,Ssp,Tn,D,Y,Y,44.8,16.2,51.8,7.9,10004.0,719.0,926.0,74.0,926.0,3.1,2.3,23.6,2.26,
PI340046,IV,S,W,G,E,Ssp,Tn,D,Y,Bf,45.1,15.5,57.7,10.0,10004.0,720.0,927.0,87.0,927.0,2.5,1.8,14.1,2.82,
PI340049,IV,S,Dp,G,A,Ssp,Tn,I,Y,Y,45.0,16.7,53.7,7.9,10004.0,721.0,927.0,83.0,927.0,2.5,2.5,16.9,2.52,
PI340053A,IV,S,W,G,A,Ssp,Tn,D,Y,Y,46.0,16.4,53.0,7.3,10004.0,718.0,927.0,76.0,927.0,2.3,2.3,23.4,2.17,
PI340054,IV,S,P,G,E,N,Tn,I,Y,Y,43.5,16.1,53.4,8.3,10003.0,807.0,1014.0,66.0,1014.0,3.5,1.8,8.2,1.73,
PI346309,V,S,P,T,A,Ssp,Tn,I,Y,Tn,44.8,16.5,57.6,7.1,492374.0,616.0,921.0,145.0,921.0,5.0,2.8,11.6,1.32,
PI347544A,0,S,P,T,E,N,Br,D,Y,Y,45.6,18.4,55.7,8.9,10001.0,701.0,910.0,85.0,910.0,4.0,2.3,17.3,2.55,Iregy soja
PI347544B,0,S,P,T,E,N,Br,D,Y,Y,44.9,18.7,56.4,9.0,10001.0,703.0,911.0,84.0,911.0,4.5,2.3,16.7,2.66,Iregy soja
PI358316B,I,S,P,G,Sa,N,Tn,D,Y,Bf,45.6,15.1,54.4,10.3,10002.0,715.0,905.0,57.0,905.0,1.8,2.0,12.1,2.49,Shirosaya
PI358317B,II,S,W,G,E,Ssp,Br,D,Y,Y,44.5,17.8,49.3,8.3,10002.0,716.0,916.0,72.0,916.0,2.3,3.5,20.6,2.91,Sapporo Commercial No. 1
PI360837,II,S,P,Lt,E,Ssp,Br,D,Y,Y,43.2,18.9,52.9,8.3,10002.0,710.0,909.0,62.0,909.0,1.3,2.5,18.8,2.2,Hon iku 65
PI360963B,0,S,P,T,E,Ssp,Br,I,Y,Br,43.2,19.4,52.5,8.2,10001.0,629.0,824.0,47.0,824.0,2.5,2.8,16.8,1.78,Shinsei
PI360963C,0,S,P,T,E,Ssp,Tn,D,Y,Br,41.3,19.7,49.1,6.8,10001.0,630.0,826.0,42.0,826.0,2.0,2.8,18.3,1.68,Shinsei
PI361083,0,S,P,T,E,Ssp,Tn,I,Y,Br,43.6,18.1,50.6,8.0,10001.0,708.0,912.0,62.0,912.0,3.0,1.5,12.3,2.52,L.16
PI361109,II,S,W,G,E,N,Br,S,Y,Bf,43.8,19.8,55.3,7.2,10002.0,707.0,914.0,77.0,914.0,2.8,2.8,15.0,3.39,Seao tzin huan No. 1
PI361115,I,S,W,G,E,Ssp,Br,S,Y,Y,42.5,19.6,54.3,7.6,10002.0,709.0,908.0,59.0,908.0,2.3,2.8,17.1,2.91,Tzao fen No. 1
PI361119,0,S,P,T,E,Ssp,Tn,I,Y,Br,40.7,17.7,58.3,10.6,10001.0,706.0,912.0,62.0,912.0,4.0,1.8,12.5,1.96,V 10/65
PI365426,VI,S,P,T,Sa,Ssp,Br,I,Gnbr,Gnbr,42.0,12.9,58.0,10.8,491453.0,725.0,1010.0,80.0,1010.0,5.0,2.3,3.3,0.28,Mothi
PI368037,VI,S,W,T,Sa,N,Tn,I,Y,Br,47.8,15.8,55.8,8.2,491453.0,815.0,1020.0,130.0,1020.0,4.0,2.3,11.4,0.76,Nungshih 64-91
PI374171,VIII,S,P,T,E,N,Br,I,Bl,Bl,46.3,14.3,55.3,8.2,491454.0,903.0,1109.0,180.0,1109.0,5.0,2.5,6.7,0.58,
PI374186,VIII,S,P,T,E,N,Br,I,Bl,Bl,45.6,14.8,56.1,8.6,491454.0,901.0,1109.0,169.0,1109.0,4.5,2.8,7.2,0.73,
PI378656B,0,S,P,G,E,N,Br,I,Y,Bf,41.3,19.4,54.6,10.4,10001.0,703.0,918.0,83.0,918.0,4.0,2.3,12.4,1.98,Besarabka 4731
PI378670B,II,S,W,G,E,N,Br,D,Y,Bf,45.2,18.5,58.5,7.7,10002.0,708.0,918.0,96.0,918.0,3.8,1.8,12.8,3.1,Kisinevskaja 1
PI378677A,0,S,P,T,E,N,Br,D,Y,Y,41.7,19.7,57.0,9.1,10001.0,712.0,917.0,93.0,917.0,4.5,2.3,21.0,2.53,Primorskaja 508
PI378678,0,S,P,T,E,N,Tn,S,Y,Br,41.6,18.5,55.9,8.8,10001.0,712.0,915.0,70.0,915.0,4.0,1.8,12.6,2.59,Staroukrainskaja
PI378680D,I,S,P,T,E,N,Br,I,Y,Br,46.0,18.8,57.4,8.5,10002.0,704.0,908.0,66.0,908.0,2.3,2.5,13.6,3.03,VNIIMK 9186
PI378682B,IV,S,P,Lt,Sa,Ssp,Bl,D,Bl,Bl,47.6,14.4,58.0,10.4,10004.0,727.0,1005.0,71.0,1005.0,4.8,2.3,10.2,1.23,
PI378682C,IV,S,P,T,Sa,Ssp,Bl,D,Bl,Bl,48.8,14.4,57.7,9.3,10004.0,731.0,1007.0,107.0,1007.0,4.9,2.3,11.4,1.25,
PI379562A,IV,S,Dp,T,E,Ssp,Br,D,Gn,Br,41.9,17.5,53.8,8.3,10003.0,805.0,1014.0,79.0,1014.0,3.3,3.3,31.4,1.4,Yamagata zairai
PI391583,II,S,W,G,E,N,Br,S,Y,Bf,43.7,20.0,52.7,6.1,10002.0,706.0,915.0,80.0,915.0,2.2,2.8,15.9,3.16,Jilin No. 10
PI391586,III,S,W,G,E,N,Br,S,Y,Bf,45.8,18.5,45.5,6.2,10002.0,721.0,924.0,88.0,924.0,3.9,2.5,18.5,3.11,P'ing ting hsiang
PI391589B,I,S,W,G,E,Ssp,Br,I,Y,Y,45.9,19.1,53.5,6.7,10002.0,703.0,908.0,65.0,908.0,1.3,2.8,19.0,2.74,Hei nung No. 11
PI393535,III,S,W,T,Sa,N,Br,I,Gn,Br,46.2,15.4,52.9,9.3,10002.0,721.0,919.0,86.0,919.0,4.1,1.8,13.1,2.33,Aohigu
PI398218,V,S,P,T,E,Ssp,Br,I,Gn,Bl,47.1,16.2,56.5,6.1,492374.0,627.0,925.0,95.0,925.0,5.0,3.0,8.7,1.02,
PI398282,IV,S,P,G,E,N,Br,D,Y,Bf,43.9,16.5,54.9,9.4,10003.0,803.0,1008.0,81.0,1008.0,3.5,2.0,14.6,2.13,
PI398303,IV,S,P,T,E,N,Br,S,Gn,Bl,44.7,17.3,58.0,9.3,10003.0,804.0,1015.0,80.0,1015.0,2.3,2.5,20.1,1.68,
PI398360,IV,S,P,T,E,Ssp,Br,D,Gn,Gn,44.9,18.4,53.7,7.4,10003.0,807.0,1013.0,77.0,1013.0,2.0,2.5,21.3,1.75,
PI398368,IV,S,P,G,E,Ssp,Bl,D,Y,Bf,46.6,16.1,55.1,8.6,10004.0,804.0,1010.0,86.0,1010.0,3.9,1.8,8.6,1.77,
PI398439,IV,S,W,G,E,Ssp,Br,D,Y,Bf,45.7,16.6,53.3,8.8,10003.0,803.0,1010.0,74.0,1010.0,3.3,2.8,19.7,1.79,
PI398504,III,S,W,G,A,Ssp,Tn,D,Y,Y,46.8,18.2,49.1,7.2,10002.0,721.0,926.0,87.0,926.0,4.1,2.5,23.3,2.51,
PI398505,III,S,W,G,A,Ssp,Tn,I,Y,Bf,46.0,17.3,54.6,8.5,10002.0,719.0,923.0,73.0,923.0,2.3,2.5,21.9,2.64,
PI398604,IV,S,P,T,E,Ssp,Br,D,Y,Br,45.7,17.6,53.9,8.5,10004.0,726.0,1009.0,86.0,1009.0,3.3,1.8,16.1,2.62,
PI398635,VI,S,P,G,E,Ssp,Br,I,Y,Bf,50.3,12.1,56.9,8.5,491453.0,727.0,1010.0,62.0,1010.0,2.5,2.0,6.6,0.88,
PI398693,III,S,P,G,E,Ssp,Br,D,Y,Bf,44.5,19.6,53.4,7.1,10002.0,721.0,928.0,80.0,928.0,2.9,2.0,16.0,2.93,
PI398701,IV,S,P,T,E,Ssp,Br,S,Bl,Bl,44.7,18.4,56.4,8.3,10004.0,726.0,1011.0,79.0,1011.0,3.1,1.8,17.8,2.23,
PI398747,III,S,P,G,E,Ssp,Br,D,Y,Bf,45.3,18.8,56.7,9.2,10002.0,721.0,927.0,83.0,927.0,2.5,1.5,15.1,2.74,
PI398749,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.1,18.3,53.7,7.9,10002.0,718.0,925.0,68.0,925.0,2.5,2.3,24.0,2.6,
PI398751,III,S,W,G,A,Ssp,Tn,D,Y,Bf,45.5,17.9,54.9,7.8,10002.0,715.0,922.0,74.0,922.0,2.3,2.0,18.9,2.94,
PI398752,III,S,P,G,Sa,Ssp,Br,D,Y,Bf,44.6,19.4,54.7,8.6,10002.0,723.0,925.0,85.0,925.0,3.0,2.0,16.0,3.21,
PI398801,IV,S,P,T,E,Ssp,Br,I,Bl,Bl,44.3,16.4,52.4,7.2,10003.0,810.0,1010.0,55.0,1010.0,2.8,3.3,28.9,1.76,
PI398807,IV,S,P,T,E,Ssp,Br,I,Bl,Bl,42.8,17.2,53.8,7.5,10003.0,803.0,1005.0,63.0,1005.0,4.5,2.5,19.8,2.35,
PI398813,III,S,P,G,E,Ssp,Tn,D,Y,Y,44.6,17.9,57.7,8.9,10002.0,720.0,925.0,72.0,925.0,1.5,2.0,16.6,3.05,
PI398831,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.0,17.5,53.6,7.6,10002.0,719.0,926.0,76.0,926.0,2.8,2.3,23.4,2.5,
PI398841,III,S,P,G,E,Ssp,Tn,D,Y,Y,43.7,18.8,54.7,6.8,10002.0,722.0,924.0,73.0,924.0,4.3,2.8,19.0,2.0,
PI398843,IV,S,P,T,E,Ssp,Br,I,Lgn,Bl,42.6,16.5,52.1,7.6,10003.0,805.0,1016.0,85.0,1016.0,2.3,2.5,24.5,1.85,
PI398859,III,S,W,G,A,Ssp,Tn,I,Y,Bf,43.7,18.3,52.5,7.5,10002.0,718.0,924.0,63.0,924.0,2.3,2.3,24.2,2.47,
PI398880,IV,S,P,G,E,N,Tn,D,Y,Y,42.9,15.8,54.3,8.0,10003.0,809.0,1011.0,67.0,1011.0,5.0,2.0,8.7,1.91,
PI398885,III,S,W,G,A,Ssp,Tn,D,Y,Y,44.1,17.6,49.1,6.6,10002.0,720.0,926.0,70.0,926.0,3.4,2.5,24.1,2.33,
PI398902,III,S,W,G,A,Ssp,Br,D,Y,Y,46.3,17.6,55.4,7.8,10002.0,720.0,924.0,65.0,924.0,2.0,2.3,21.5,2.37,
PI398908,III,S,W,G,A,Sp,Tn,D,Y,Y,46.8,17.9,54.6,7.9,10002.0,720.0,927.0,76.0,927.0,3.3,2.5,23.1,2.47,
PI398916,IV,S,W,T,E,N,Br,D,Y,Y,45.0,17.8,53.3,6.6,10003.0,727.0,1001.0,70.0,1001.0,1.5,2.5,17.3,1.85,
PI398920,IV,S,P,T,E,Ssp,Br,I,Br,Br,48.1,16.9,54.7,8.8,10004.0,726.0,1006.0,92.0,1006.0,3.5,2.0,22.9,2.32,
PI398927,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.1,17.9,51.8,7.4,10002.0,720.0,926.0,75.0,926.0,3.5,2.3,23.0,2.31,
PI398930,III,S,P,G,E,Ssp,Br,D,Y,Bf,43.6,19.4,56.1,8.3,10002.0,721.0,927.0,78.0,927.0,2.5,1.8,16.2,2.87,
PI398954,III,S,Dp,G,A,Ssp,Br,S,Y,Bf,47.6,17.7,55.6,7.3,10002.0,721.0,925.0,76.0,925.0,3.0,2.3,20.2,2.53,
PI398957,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.5,18.4,54.3,7.9,10002.0,720.0,924.0,73.0,924.0,3.1,2.5,24.1,2.76,
PI398959,IV,S,P,G,E,Ssp,Tn,I,Y,Bf,44.9,16.7,54.9,9.6,10004.0,728.0,1009.0,89.0,1009.0,3.8,2.3,15.4,2.18,
PI398975,IV,S,P,G,E,Sdn,Tn,D,Y,Y,43.8,15.6,52.3,8.8,10003.0,810.0,1010.0,72.0,1010.0,3.3,2.0,9.6,1.99,
PI398980,III,S,W,G,E,Ssp,Tn,I,Y,Y,44.5,18.0,47.6,7.3,10002.0,721.0,929.0,77.0,929.0,3.3,2.5,19.4,2.64,
PI398987,IV,S,P,G,E,Ssp,Br,D,Y,Bf,42.2,16.6,55.5,8.7,10003.0,809.0,1013.0,86.0,1013.0,3.5,2.3,15.6,2.23,
PI398989,III,S,W,G,A,Ssp,Tn,I,Y,Bf,45.8,17.7,53.0,8.1,10002.0,718.0,922.0,68.0,922.0,1.8,2.3,22.6,2.39,
PI399006,IV,S,W,G,Sa,Ssp,Tn,D,Y,Bf,43.3,16.1,53.3,8.9,10003.0,809.0,1015.0,67.0,1015.0,3.5,2.0,12.9,1.55,
PI399008,III,S,W,G,Sa,N,Tn,I,Y,Bf,44.1,18.4,54.8,8.8,10002.0,722.0,926.0,87.0,926.0,2.6,1.8,13.0,2.7,
PI399031,IV,S,P,G,E,Ssp,Br,D,Y,Y,45.2,16.9,53.6,8.4,10003.0,803.0,1012.0,81.0,1012.0,2.0,2.5,19.5,1.98,
PI399035,IV,S,W,T,E,N,Tn,I,Y,Br,42.4,17.2,57.2,9.1,10003.0,808.0,1013.0,95.0,1013.0,2.0,2.0,10.6,2.02,
PI399063,III,S,W,G,A,Ssp,Br,D,Y,Lbf,46.0,17.5,55.7,8.0,10002.0,720.0,922.0,63.0,922.0,2.0,2.3,22.2,2.4,
PI399077,III,S,Dp,T,Sa,N,Tn,D,Y,Br,45.3,16.5,51.3,8.0,10002.0,728.0,1004.0,86.0,1004.0,2.3,2.0,11.9,2.05,
PI404169B,III,S,P,G,A,N,Tn,D,Y,Ib,44.2,17.0,57.0,8.6,10002.0,729.0,928.0,86.0,928.0,3.9,1.5,10.1,2.29,Tun san bai can ker
PI404181,IV,S,W,G,A,N,Tn,D,Y,Bf,44.8,17.2,53.9,8.6,10004.0,803.0,1014.0,127.0,1014.0,4.0,2.0,12.0,1.6,Sin i hua da gou
PI404186,III,S,P,G,A,N,Br,S,Y,Ib,45.9,16.8,49.4,7.3,10002.0,724.0,929.0,89.0,929.0,3.9,2.3,13.4,2.27,Dun haj sy li czao
PI404190,IV,S,P,T,E,N,Br,S,Br,Br,44.3,17.2,55.5,10.8,10004.0,726.0,1005.0,122.0,1005.0,3.6,1.8,11.4,2.61,Pa dou
PI404193,IV,S,W,G,E,N,Br,I,Y,Bf,45.4,17.9,52.2,10.3,10004.0,801.0,1005.0,133.0,1005.0,3.8,2.0,14.6,2.83,Pin dun huan
PI404197,IV,S,W,G,A,N,Tn,D,Y,Bf,45.2,17.7,55.8,9.2,10004.0,802.0,1013.0,103.0,1013.0,3.9,1.8,12.1,2.08,Lian suj pin din huan
PI407386A,0,S,P,G,E,N,Br,I,Y,Y,42.8,19.4,56.6,8.3,10001.0,629.0,908.0,69.0,908.0,2.5,2.3,19.0,2.96,
PI407657,III,S,P,G,E,N,Br,S,Y,Bf,44.2,18.9,52.6,7.0,10002.0,720.0,921.0,88.0,921.0,2.3,1.8,15.1,2.87,
PI407658A,IV,S,W,T,E,N,Tn,I,Y,Blbr,47.8,16.5,54.4,9.3,10004.0,726.0,1006.0,102.0,1006.0,3.8,1.8,14.6,2.68,Dun haj czu ja czao
PI407658C,IV,S,W,T,E,Ssp,Tn,D,Y,Blbr,47.2,17.1,55.2,9.2,10004.0,721.0,1003.0,86.0,1003.0,3.1,1.8,14.6,2.96,Dun haj czu ja czao
PI407706B,II,S,W,G,E,Ssp,Br,S,Y,Y,42.9,19.6,54.2,7.4,10002.0,708.0,913.0,56.0,913.0,1.8,2.3,18.8,2.97,Chou yao tao
PI407708A,0,S,P,G,E,N,Bl,S,Y,Bf,42.4,19.2,55.6,9.2,10001.0,705.0,912.0,76.0,912.0,3.0,2.5,16.2,2.47,Feng shou No. 10
PI407716,I,S,W,G,E,N,Br,S,Y,Y,46.7,19.0,55.3,7.7,10002.0,703.0,906.0,76.0,906.0,2.4,2.8,18.8,3.02,Jin nung No. 3
PI407717,II,S,W,G,E,N,Br,S,Y,Lbf,47.8,19.7,52.9,6.7,10002.0,703.0,914.0,74.0,914.0,2.1,3.0,18.9,3.12,Jin nung No. 5
PI407720,II,S,W,G,E,N,Br,S,Y,Y,43.1,19.3,55.2,7.9,10002.0,712.0,918.0,77.0,918.0,2.6,2.5,18.3,3.42,Kao chien tao
PI407726,I,S,P,G,E,N,Br,S,Y,Y,45.0,19.4,54.2,7.4,10002.0,630.0,908.0,55.0,908.0,1.8,2.3,15.6,3.29,Wu ding choo
PI407752,V,S,P,T,A,N,Tn,I,Br,Br,46.0,15.9,48.8,6.5,492374.0,707.0,929.0,105.0,929.0,3.0,2.5,17.6,2.09,
PI407758,V,S,P,Lt,A,N,Tn,I,Br,Br,46.9,16.0,50.9,5.9,492374.0,712.0,1003.0,85.0,1003.0,4.0,3.0,19.5,1.59,
PI407759,V,S,P,T,A,N,Tn,I,Br,Br,46.5,18.4,46.4,5.4,492374.0,626.0,923.0,91.0,923.0,3.0,3.0,25.9,1.21,
PI407772B,IV,S,P,G,E,N,Tn,I,Y,Y,43.6,16.6,55.2,8.2,10004.0,806.0,1014.0,87.0,1014.0,4.0,2.3,7.2,1.71,
PI407818B,IV,S,P,G,E,N,Tn,I,Y,Lbf,44.8,15.4,55.1,8.9,10003.0,813.0,1011.0,69.0,1011.0,4.0,1.8,8.3,1.83,
PI407861B,III,S,W,G,A,Ssp,Br,I,Y,Bf,44.2,18.1,57.0,8.0,10002.0,721.0,928.0,81.0,928.0,2.8,2.0,19.2,2.06,
PI407885,V,S,P,T,Sa,Ssp,Tn,I,Y,Bl,48.5,14.7,55.5,7.4,492374.0,624.0,919.0,46.0,919.0,2.5,2.8,7.1,1.34,
PI407903A,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.9,18.5,53.6,7.4,10002.0,719.0,924.0,72.0,924.0,2.3,2.3,23.2,2.53,
PI407903B,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.1,17.9,52.5,7.6,10002.0,721.0,928.0,80.0,928.0,3.5,2.3,21.9,2.12,
PI407907A,III,S,P,G,E,Ssp,Br,D,Y,Bf,46.0,18.9,53.9,8.6,10002.0,720.0,924.0,73.0,924.0,2.5,1.8,15.4,2.86,
PI407914D,IV,S,P,G,E,N,Tn,D,Y,Y,43.1,16.5,53.7,8.1,10003.0,809.0,1010.0,72.0,1010.0,4.0,2.0,8.8,1.7,
PI407925,III,S,W,G,A,Ssp,Tn,D,Y,Bf,44.2,18.1,53.3,8.1,10002.0,719.0,925.0,70.0,925.0,2.0,2.5,21.4,2.43,
PI407926B,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.6,17.6,47.0,6.6,10002.0,719.0,924.0,67.0,924.0,3.3,2.3,23.2,2.21,
PI407947,IV,S,P,G,E,N,Br,I,Y,Y,46.4,16.6,53.3,7.3,10003.0,728.0,1013.0,72.0,1013.0,2.8,2.5,19.4,1.7,
PI407981C,IV,S,P,G,E,Ssp,Br,D,Y,Bf,45.1,15.3,53.1,8.1,10003.0,803.0,1012.0,80.0,1012.0,2.3,2.0,12.3,1.7,
PI407985,IV,S,P,G,E,Ssp,Tn,D,Y,Bf,43.3,16.5,52.6,8.6,10003.0,804.0,1008.0,83.0,1008.0,2.8,2.3,15.1,1.89,
PI408004-1,IV,S,P,G,E,N,Tn,I,Y,Y,42.2,16.4,54.5,8.4,10003.0,806.0,1011.0,76.0,1011.0,3.8,1.8,8.0,1.98,
PI408014,IV,S,P,G,E,Ssp,Bl,D,Gn,Bf,44.5,16.5,52.7,9.3,10003.0,807.0,1010.0,85.0,1010.0,3.0,2.0,11.8,1.74,
PI408016A,IV,S,P,G,E,Ssp,Tn,D,Y,Bf,44.9,16.3,52.1,8.0,10003.0,802.0,1010.0,67.0,1010.0,2.0,1.8,12.3,1.79,
PI408020C,IV,S,W,G,Sa,N,Br,D,Y,Bf,41.7,16.6,52.4,8.3,10003.0,810.0,1015.0,77.0,1015.0,3.5,2.3,14.8,1.99,
PI408020D,IV,S,P,G,E,Ssp,Br,S,Y,Bf,46.0,16.8,52.8,7.7,10003.0,802.0,1009.0,80.0,1009.0,1.8,2.3,17.8,1.68,
PI408029,IV,S,P,T,E,Ssp,Bl,D,Gn,Br,43.9,16.1,55.7,9.4,10003.0,812.0,1012.0,84.0,1012.0,3.0,2.0,11.4,1.85,
PI408058,IV,S,P,T,E,Ssp,Br,I,Br,Br,45.5,16.5,54.0,8.8,10003.0,729.0,1001.0,58.0,1001.0,3.0,3.3,31.4,2.01,
PI408062,IV,S,P,G,E,N,Tn,D,Y,Y,43.9,15.6,53.4,7.9,10003.0,811.0,1012.0,72.0,1012.0,4.0,1.8,9.3,1.91,
PI408124B,IV,S,P,G,E,N,Tn,D,Y,Bf,42.5,16.9,55.2,8.4,10003.0,810.0,1011.0,76.0,1011.0,3.8,2.0,10.0,2.13,
PI408128,III,S,W,G,A,Ssp,Tn,D,Y,Y,45.6,17.7,51.3,7.4,10002.0,718.0,924.0,70.0,924.0,3.3,2.3,21.4,2.49,
PI408134A,IV,S,P,G,E,Ssp,Bl,I,Gn,Bf,44.8,15.8,58.4,7.7,10003.0,809.0,1011.0,89.0,1011.0,2.3,2.3,10.1,1.6,
PI408260B,IV,S,P,Lt,E,Ssp,Br,I,Bl,Bl,42.8,16.3,58.7,8.1,10003.0,811.0,1016.0,83.0,1016.0,3.0,2.5,19.2,1.52,
